file,bucket,domain,disposition,phase_refs,action,confidence,rationale,dependency_graph
android/.settings/org.eclipse.buildship.core.prefs,android/.settings,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/.settings/org.eclipse.buildship.core.prefs"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/.settings""}"
android/app/build.gradle,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/build.gradle"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
android/app/src/main/AndroidManifest.xml,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/src/main/AndroidManifest.xml"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
android/app/src/main/kotlin/com/avrai/app/AppUsagePlugin.kt,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/src/main/kotlin/com/avrai/app/AppUsagePlugin.kt"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
android/app/src/main/kotlin/com/avrai/app/MainActivity.kt,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/src/main/kotlin/com/avrai/app/MainActivity.kt"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
android/app/src/main/kotlin/com/avrai/app/services/BLEForegroundService.kt,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/src/main/kotlin/com/avrai/app/services/BLEForegroundService.kt"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
android/app/src/main/kotlin/com/avrai/app/services/BleAckStore.kt,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/src/main/kotlin/com/avrai/app/services/BleAckStore.kt"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
android/app/src/main/kotlin/com/avrai/app/services/BleInboxStore.kt,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/src/main/kotlin/com/avrai/app/services/BleInboxStore.kt"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
android/app/src/main/res/drawable/ic_launcher_foreground.png,android/app,platform-runtime,keep_update,"7.5,11.2",keep+update,medium,Platform targets remain active with tiered capability and expansion plans.,"{""change_class"":""keep_update"",""change_line"":""steady"",""depends_on"":[],""graph_version"":""v1"",""injections"":{""consumes"":[],""mode"":""none"",""notes"":""deterministic injection contract for platform-runtime"",""provides"":[],""required_validation"":[],""roots"":[""lib/injection_container.dart"",""lib/injection_container_core.dart"",""lib/injection_container_ai.dart"",""lib/injection_container_device_sync.dart""]},""lane"":""steady:platform-runtime"",""node_id"":""file:android/app/src/main/res/drawable/ic_launcher_foreground.png"",""notes"":""strict dependency graph for deterministic move/refactor sequencing"",""order"":0,""phase_refs"":[""7.5"",""11.2""],""required_checks"":[""Execution Board Guard / execution-board-check"",""Architecture Placement Guard / architecture-placement"",""PRD Traceability Guard / traceability""],""spot"":""spot:android/app""}"
